pc1,pc2,cluster,title
-0.013332441,-0.15811789,0,Unclassified
-0.142814,-0.30603796,0,Data Modelers
0.038098272,-0.28219384,0,Reporting and Analytics Managers
-0.14260273,-0.22768773,0,Enterprise Architects
-0.16089574,-0.13326447,0,Lead Data Analysts
-0.023601323,0.0026027039,0,Enterprise Data Analysts
-0.035681747,-0.16190867,0,Solutions Architects
-0.27271467,-0.22049394,0,Data Analysts
-0.11483736,-0.2172513,0,Data Modelers
-0.12581031,-0.20578124,0,IT Governance Analysts
0.033218548,-0.056530796,0,Oracle Architects
-0.17677008,-0.1200463,0,Data Analysts
-0.11443609,-0.087981515,0,Data Analysts
-0.26511538,-0.21005848,0,Product Data Analysts
-0.344819,-0.27773654,0,Data Analytics Engineers
-0.17938125,-0.051815063,0,Technical Support Technicians
-0.12676181,-0.090724155,0,Production Data Analysts
-0.16083233,-0.34130955,0,Enterprise Architecture Managers
-0.20816906,-0.23167603,0,SQL Data Analysts
-0.3432238,-0.11068888,0,Data Insights Analysts
-0.15705553,-0.007097124,0,Hadoop Developers
-0.15920685,-0.11477644,0,MDM Analysts
-0.07718395,0.03360396,0,Data Governance Analysts
-0.1229649,-0.30436555,0,Data Analytics Leads
-0.00247553,-0.18097533,0,Data Analytics Managers
-0.12851621,0.0014828797,0,Data Governance Analysts
-0.21896268,-0.23834549,0,Enterprise Data Analysts
-0.40632272,-0.2627323,0,Data Analysts
-0.13201936,-0.09587639,0,Data Quality Analysts
-0.14972587,-0.074419565,0,Data Analysts
-0.1538064,0.07273836,0,Data Quality Analysts
-0.17061153,-0.1821553,0,Data Modelers
-0.20851524,-0.17085966,0,Business Intelligence Analysts
-0.15084541,-0.123325154,0,Search Quality Analysts
-0.30114812,-0.32534555,0,Data Analytics Engineers
-0.02391021,-0.056990042,0,Lead Product Analysts
-0.038894564,-0.048003316,0,Data Governance Analysts
-0.20933165,-0.064934805,0,IT Data Analytics Analysts
-0.12581031,-0.20578124,0,IT Governance Analysts
-0.02952519,-0.17929225,0,Data Analysts
-0.10162315,0.06239306,0,Business Intelligence Systems Analysts
-0.11163589,-0.28099498,0,Data Analytics Architects
-0.10954338,-0.2853154,0,Data Warehouse Analysts
-0.13315521,-0.18967885,0,Data Analysts
